add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multiplicative Depth,execution_time (s),Remaining_noise_budget
3,2,0,0,0,2,3,1,0.481,328
8,4,0,0,0,3,4,1,0.814,327
3,2,0,0,0,2,3,1,0.482,327
5,2,0,0,0,3,4,1,0.694,327
5,0,0,0,0,2,3,1,0.481,328
9,5,0,0,0,4,6,1,1.027,327
1,1,0,0,0,1,2,1,0.245,328
3,3,0,0,0,3,8,3,0.668,264
3,2,0,0,0,4,5,2,0.808,296
3,1,0,0,0,3,3,1,0.621,327
2,2,0,0,0,2,4,1,0.457,328
12,6,0,0,0,5,5,2,1.286,296
2,1,0,0,0,2,4,2,0.432,296
2,1,0,0,0,3,3,1,0.597,328
18,8,0,0,0,9,8,2,2.129,296
8,0,0,0,0,7,4,3,1.370,263
5,4,0,0,0,2,4,1,0.579,328
1,2,0,0,0,2,4,2,0.433,296
14,4,0,0,0,4,7,2,1.109,296
4,0,0,0,0,5,4,2,0.946,295
5,3,0,0,0,3,5,1,0.718,327
18,9,0,0,0,4,5,1,1.316,326
2,1,0,0,0,2,3,1,0.432,328
3,0,0,0,0,2,3,2,0.432,296
20,9,0,0,0,7,7,2,1.857,296
6,4,0,0,0,5,4,2,1.089,295
4,0,0,0,0,3,3,2,0.620,296
3,1,0,0,0,3,3,2,0.621,296
20,8,0,0,0,8,9,2,2.010,296
11,6,0,0,0,10,5,1,2.071,327
2,1,0,0,0,1,3,1,0.268,328
2,0,0,0,0,3,3,1,0.571,328
4,3,0,0,0,5,8,3,1.019,264
2,1,0,0,0,1,3,1,0.268,328
3,2,0,0,0,2,4,1,0.481,328
9,4,0,0,0,3,5,1,0.836,327
5,0,0,0,0,2,3,1,0.482,328
2,1,0,0,0,3,3,1,0.596,328
5,4,0,0,0,4,4,1,0.905,327
1,1,0,0,0,1,2,1,0.245,329
2,2,0,0,0,4,4,2,0.784,295
2,2,0,0,0,3,3,1,0.622,327
2,1,0,0,0,4,3,1,0.666,327
3,0,0,0,0,4,3,2,0.760,296
6,5,0,0,0,4,4,2,0.951,296
2,3,0,0,0,3,5,2,0.644,296
11,5,0,0,0,5,6,1,1.235,327
5,4,0,0,0,4,4,2,0.903,296
9,0,0,0,0,2,4,1,0.578,327
3,2,0,0,0,3,5,2,0.643,296
2,3,0,0,0,3,4,2,0.643,296
3,0,0,0,0,2,3,2,0.433,296
